Estación,indicativo,latitud,longitud
b'A Coru\xc3\xb1a',1387,432157N,082517W
b'Albacete',8178D,390020N,015144W
b'Almer\xc3\xada Aeropuerto',6325O,365047N,022125W
b'Badajoz',4478G,413800N,005256W
b'Barcelona',0201D,412326N,021200E
b'C\xc3\xa1ceres',3469A,392817N,062020W
b'C\xc3\xa1diz',5973,362959N,061528W
b'Ciudad Real',4121,385921N,035513W
b'C\xc3\xb3rdoba Aeropuerto',5402,375056N,045048W
b'Estaci\xc3\xb3n Ant\xc3\xa1rticaJuan Carlos I',NNNNN,,
b'Granada',5514,370814N,033753W
b'Huelva',4642E,371642N,065442W
b'Iza\xc3\xb1a',C430E,281832N,162958W
b'Le\xc3\xb3n',2661,423518N,053904W
b'Lleida',9771C,413734N,003553E
b'Logro\xc3\xb1o',9170,422708N,021952W
b'MadridCiudad Universitaria',3194U,402706N,034327W
b'M\xc3\xa1laga',6156X,364304N,042854W
b'Maspalomas',C639M,274529N,153432W
b'Moguer (El Arenosillo)',5860E,370553N,064417W
b'Murcia',7178I,380007N,011015W
b'Oviedo',1249X,432112N,055227W
b'Palma de Mallorca',B228,393319N,023731E
b'Ponferrada',1549,423350N,063600W
b'Salamanca',2867,405734N,052954W
b'San Sebasti\xc3\xa1n',1024E,431823N,020228W
b'Santander',1111,432928N,034802W
b'Soria',2030,414630N,022859W
b'Sta. Cruz de Tenerife',C449C,282748N,161519W
b'Teruel',8368U,402102N,010727W
b'Toledo',3260B,395305N,040243W
b'Tortosa',9981A,404913N,002936E
b'Valencia Aeropuerto',8414A,392906N,002829W
b'Valladolid',2422,413827N,044516W
b'Zaragoza',9443V,385360N,070046W
